date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:00	56102/56102	---M-Z	200	added ('OK')	text/html	etag:%223e61374-db26-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/doctors.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/doctors.html	(from http://thememakker.com/swift/hospital/)
19:19:01	43312/43312	---M-Z	200	added ('OK')	text/html	etag:%223e60f4e-a930-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/add-doctor.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/add-doctor.html	(from http://thememakker.com/swift/hospital/)
19:19:02	39969/39969	---M-Z	200	added ('OK')	text/html	etag:%223e60f4f-9c21-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/add-patient.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/add-patient.html	(from http://thememakker.com/swift/hospital/)
19:19:03	42002/42002	---M-Z	200	added ('OK')	text/html	etag:%223e61385-a412-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/patient-profile.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/patient-profile.html	(from http://thememakker.com/swift/hospital/)
19:19:04	37017/37017	---M-Z	200	added ('OK')	text/html	etag:%223e61384-9099-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/patient-invoice.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/patient-invoice.html	(from http://thememakker.com/swift/hospital/)
19:19:05	36033/36033	---M-Z	200	added ('OK')	text/html	etag:%223e60f50-8cc1-54f33f8b39b80-gzip%22	http://thememakker.com/swift/hospital/add-payments.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/add-payments.html	(from http://thememakker.com/swift/hospital/)
19:19:06	46427/46427	---M-Z	200	added ('OK')	text/html	etag:%223e6138c-b55b-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/reports.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/reports.html	(from http://thememakker.com/swift/hospital/)
19:19:07	67292/67292	---M-Z	200	added ('OK')	text/html	etag:%223e61395-106dc-54f33f8d22000-gzip%22	http://thememakker.com/swift/hospital/widgets.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/widgets.html	(from http://thememakker.com/swift/hospital/)
19:19:08	3584/3584	---M-Z	200	added ('OK')	text/html	etag:%223e6138e-e00-54f3409bf9f00-gzip%22	http://thememakker.com/swift/hospital/sign-up.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/sign-up.html	(from http://thememakker.com/swift/hospital/)
19:19:09	2244/2244	---M-Z	200	added ('OK')	text/html	etag:%223e61377-8c4-54f340b6ade00-gzip%22	http://thememakker.com/swift/hospital/forgot-password.html	/storage/emulated/0/HTTrack/Websites/swift%20hospital/thememakker.com/swift/hospital/forgot-password.html	(from http://thememakker.com/swift/hospital/)
