date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:45	300102/300102	---M--	200	added ('OK')	text/css	etag:%2214f00196-49446-5516d3e0416ad%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/css/colors.min.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/css/colors.min.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:49	2859/2859	---M--	200	added ('OK')	text/css	etag:%22155a05bb-b2b-55083807a7480%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/css/core/menu/menu-types/vertical-overlay-menu.min.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/css/core/menu/menu-types/vertical-overlay-menu.min.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:50	512/512	---M--	200	added ('OK')	text/css	etag:%22155a14fc-200-550837fc35980%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/assets/css/style.css	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/assets/css/style.css	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:50	108051/108051	---M-Z	200	added ('OK')	text/html	etag:%2215840994-1a613-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/index.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/index-2.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:13:53	1889/1889	---M--	200	added ('OK')	image/png	etag:%22155a1081-761-5506f28397780%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/logo/stack-logo-light.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/logo/stack-logo-light.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:00	17377/17377	---M--	200	added ('OK')	image/png	etag:%22155a1103-43e1-54eaf828bda00%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/slider/slider-2.png	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/app-assets/images/slider/slider-2.png	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:04	99192/99192	---M-Z	200	added ('OK')	text/html	etag:%2215840997-18378-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-2-columns.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/layout-2-columns.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:07	122814/122814	---M-Z	200	added ('OK')	text/html	etag:%2215840915-1dfbe-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/color-palette-primary.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/color-palette-primary.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:10	48730/48730	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202017%2019:45:09%20GMT	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/sk-2-columns.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/sk-2-columns.14.delayed	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
01:14:11	90124/90124	---M-Z	200	added ('OK')	text/html	etag:%2215840904-1600c-55170f2d84500%22	https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/changelog.html	/storage/emulated/0/HTTrack/Websites/stack_imp/pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/changelog.html	(from https://pixinvent.com/stack-responsive-bootstrap-4-admin-template/html/ltr/vertical-overlay-menu-template/)
